1,Hydrogen,H,1.007,gas
2,Helium,He,4.002,gas
3,Lithium,Li,6.941,solid
4,Beryllium,Be,9.012,solid
5,Boron,B,10.811,solid,
6,Carbon,C,12.011,solid
7,Nitrogen,N,14.007,gas
8,Oxygen,O,15.999,gas
9,Fluorine,F,18.998,gas
10,Neon,Ne,20.18,gas
11,Sodium,Na,22.99,solid
12,Magnesium,Mg,24.305,solid
13,Aluminum,Al,26.982,solid
14,Silicon,Si,28.086,solid
15,Phosphorus,P,30.974,solid
16,Sulfur,S,32.065,solid
17,Chlorine,Cl,35.453,gas
18,Argon,Ar,39.948,gas
19,Potassium,K,39.098,solid
20,Calcium,Ca,40.078,solid
21,Scandium,Sc,44.956,solid
22,Titanium,Ti,47.867,solid
23,Vanadium,V,50.942,solid
24,Chromium,Cr,51.996,solid
25,Manganese,Mn,54.938,solid
26,Iron,Fe,55.845,solid
27,Cobalt,Co,58.933,solid
28,Nickel,Ni,58.693,solid
29,Copper,Cu,63.546,solid
30,Zinc,Zn,65.38,solid
31,Gallium,Ga,69.723,solid
32,Germanium,Ge,72.64,solid
33,Arsenic,As,74.922,solid
34,Selenium,Se,78.96,solid
35,Bromine,Br,79.904,liquid
36,Krypton,Kr,83.798,gas
37,Rubidium,Rb,85.468,solid
38,Strontium,Sr,87.62,solid
39,Yttrium,Y,88.906,solid
40,Zirconium,Zr,91.224,solid
41,Niobium,Nb,92.906,solid
42,Molybdenum,Mo,95.96,solid
43,Technetium,Tc,98,artificial
44,Ruthenium,Ru,101.07,solid
45,Rhodium,Rh,102.906,solid
46,Palladium,Pd,106.42,solid
47,Silver,Ag,107.868,solid
48,Cadmium,Cd,112.411,solid
49,Indium,In,114.818,solid
50,Tin,Sn,118.71,solid
51,Antimony,Sb,121.76,solid
52,Tellurium,Te,127.6,solid
53,Iodine,I,126.904,solid
54,Xenon,Xe,131.293,gas
55,Cesium,Cs,132.905,solid
56,Barium,Ba,137.327,solid
57,Lanthanum,La,138.905,solid
58,Cerium,Ce,140.116,solid
59,Praseodymium,Pr,140.908,solid
60,Neodymium,Nd,144.242,solid
61,Promethium,Pm,145,artificial
62,Samarium,Sm,150.36,solid
63,Europium,Eu,151.964,solid
64,Gadolinium,Gd,157.25,solid
65,Terbium,Tb,158.925,solid
66,Dysprosium,Dy,162.5,solid
67,Holmium,Ho,164.93,solid
68,Erbium,Er,167.259,solid
69,Thulium,Tm,168.934,solid
70,Ytterbium,Yb,173.054,solid
71,Lutetium,Lu,174.967,solid
72,Hafnium,Hf,178.49,solid
73,Tantalum,Ta,180.948,solid
74,Wolfram,W,183.84,solid
75,Rhenium,Re,186.207,solid
76,Osmium,Os,190.23,solid
77,Iridium,Ir,192.217,solid
78,Platinum,Pt,195.084,solid
79,Gold,Au,196.967,solid
80,Mercury,Hg,200.59,liquid
81,Thallium,Tl,204.383,solid
82,Lead,Pb,207.2,solid
83,Bismuth,Bi,208.98,solid
84,Polonium,Po,210,solid
85,Astatine,At,210,solid
86,Radon,Rn,222,gas
87,Francium,Fr,223,solid
88,Radium,Ra,226,solid
89,Actinium,Ac,227,solid
90,Thorium,Th,232.038,solid
91,Protactinium,Pa,231.036,solid
92,Uranium,U,238.029,solid
93,Neptunium,Np,237,artificial
94,Plutonium,Pu,244,artificial
95,Americium,Am,243,artificial
96,Curium,Cm,247,artificial
97,Berkelium,Bk,247,artificial
98,Californium,Cf,251,artificial
99,Einsteinium,Es,252,artificial
100,Fermium,Fm,257,artificial
101,Mendelevium,Md,258,artificial
102,Nobelium,No,259,artificial
103,Lawrencium,Lr,262,artificial
104,Rutherfordium,Rf,261,artificial
105,Dubnium,Db,262,artificial
106,Seaborgium,Sg,266,artificial
107,Bohrium,Bh,264,artificial
108,Hassium,Hs,267,artificial
109,Meitnerium,Mt,268,artificial
110,Darmstadtium,Ds,271,artificial
111,Roentgenium,Rg,272,artificial
112,Copernicium,Cn,285,artificial
113,Nihonium,Nh,284,artificial
114,Flerovium,Fl,289,artificial
115,Moscovium,Mc,288,artificial
116,Livermorium,Lv,292,artificial
117,Tennessine,Ts,295,artificial
118,Oganesson,Og,294,artificial
